2018-06-07 13:08:19.119 [main] DEBUG com.epam.task3.reader.DataReader - Reading file
2018-06-07 13:08:19.123 [main] DEBUG com.epam.task3.reader.DataReader - File is read
2018-06-07 13:08:19.124 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing text.
2018-06-07 13:08:19.125 [main] DEBUG com.epam.task3.parserchain.ParagraphParser - Parsing paragraph.
2018-06-07 13:08:19.125 [main] DEBUG com.epam.task3.parserchain.SentenceParser - Parsing sentence.
2018-06-07 13:08:19.126 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.126 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.126 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.127 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.127 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.128 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.128 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.128 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.128 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.128 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.128 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.128 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.128 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.129 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.129 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.129 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.129 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.129 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.129 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.129 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.129 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.129 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.129 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.129 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.129 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.130 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.130 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.130 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.130 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.130 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.131 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.131 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.131 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.131 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.131 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.131 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.135 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.135 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.136 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.136 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.137 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.137 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.137 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.138 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.138 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.138 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.138 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.138 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.139 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.139 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.139 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.139 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.139 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.139 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.140 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.140 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.140 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.140 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.141 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.141 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.141 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.142 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.142 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.142 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.142 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.142 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.142 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.142 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.143 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.144 [main] DEBUG com.epam.task3.interpreter.LogicalExpressionParser - Parsing logical expression 13<<2.
2018-06-07 13:08:19.147 [main] DEBUG com.epam.task3.interpreter.LogicalExpressionInterpreter - Calculating logical expression: [13, 2, <<]
2018-06-07 13:08:19.149 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.150 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.153 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.153 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.153 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.153 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.153 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.154 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.154 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
